set_id,speaker_id,chapter_id,utterance_id,duration
train-clean-100,103,1240,0000,14.085
train-clean-100,103,1240,0001,15.945
train-clean-100,103,1240,0002,13.945
train-clean-100,103,1240,0003,14.71
train-clean-100,103,1240,0004,12.515
train-clean-100,103,1240,0005,15.175
train-clean-100,103,1240,0006,9.58
train-clean-100,103,1240,0007,15.035
train-clean-100,103,1240,0008,15.435
train-clean-100,103,1240,0009,10.03
train-clean-100,103,1240,0010,14.805
train-clean-100,103,1240,0011,14.655
train-clean-100,103,1240,0012,15.19
train-clean-100,103,1240,0013,15.26
train-clean-100,103,1240,0014,13.96
train-clean-100,103,1240,0015,3.81
train-clean-100,103,1240,0016,15.665
train-clean-100,103,1240,0017,14.315
train-clean-100,103,1240,0018,11.61
train-clean-100,103,1240,0019,15.405
train-clean-100,103,1240,0020,13.415
train-clean-100,103,1240,0021,14.81
train-clean-100,103,1240,0022,16.375
train-clean-100,103,1240,0023,12.15
train-clean-100,103,1240,0024,15.27
train-clean-100,103,1240,0025,15.12
train-clean-100,103,1240,0026,8.335
train-clean-100,103,1240,0027,13.965
train-clean-100,103,1240,0028,15.65
train-clean-100,103,1240,0029,15.27
train-clean-100,103,1240,0030,14.52
train-clean-100,103,1240,0031,16.86
train-clean-100,103,1240,0032,14.775
train-clean-100,103,1240,0033,14.415
train-clean-100,103,1240,0034,15.405
train-clean-100,103,1240,0035,16.045
train-clean-100,103,1240,0036,12.52
train-clean-100,103,1240,0037,14.815
train-clean-100,103,1240,0038,7.155
train-clean-100,103,1240,0039,14.425
train-clean-100,103,1240,0040,14.67
train-clean-100,103,1240,0041,13.51
train-clean-100,103,1240,0042,15.605
train-clean-100,103,1240,0043,14.76
train-clean-100,103,1240,0044,16.39
train-clean-100,103,1240,0045,15.675
train-clean-100,103,1240,0046,13.925
train-clean-100,103,1240,0047,12.895
train-clean-100,103,1240,0048,14.77
train-clean-100,103,1240,0049,15.285
train-clean-100,103,1240,0050,14.025
train-clean-100,103,1240,0051,15.36
train-clean-100,103,1240,0052,14.79
train-clean-100,103,1240,0053,13.665
train-clean-100,103,1240,0054,16.335
train-clean-100,103,1240,0055,11.245
train-clean-100,103,1240,0056,14.315
train-clean-100,103,1240,0057,6.855
train-clean-100,103,1241,0000,15.965
train-clean-100,103,1241,0001,15.55
train-clean-100,103,1241,0002,15.565
train-clean-100,103,1241,0003,13.885
train-clean-100,103,1241,0004,14.755
train-clean-100,103,1241,0005,14.025
train-clean-100,103,1241,0006,15.235
train-clean-100,103,1241,0007,15.145
train-clean-100,103,1241,0008,15.135
train-clean-100,103,1241,0009,13.9
train-clean-100,103,1241,0010,15.87
train-clean-100,103,1241,0011,14.485
train-clean-100,103,1241,0012,14.98
train-clean-100,103,1241,0013,14.81
train-clean-100,103,1241,0014,15.13
train-clean-100,103,1241,0015,14.01
train-clean-100,103,1241,0016,14.665
train-clean-100,103,1241,0017,15.89
train-clean-100,103,1241,0018,9.435
train-clean-100,103,1241,0019,3.025
train-clean-100,103,1241,0020,9.71
train-clean-100,103,1241,0021,15.18
train-clean-100,103,1241,0022,16.35
train-clean-100,103,1241,0023,16.67
train-clean-100,103,1241,0024,15.89
train-clean-100,103,1241,0025,4.83
train-clean-100,103,1241,0026,11.005
train-clean-100,103,1241,0027,14.88
train-clean-100,103,1241,0028,15.555
train-clean-100,103,1241,0029,15.31
train-clean-100,103,1241,0030,15.47
train-clean-100,103,1241,0031,13.1
train-clean-100,103,1241,0032,14.005
train-clean-100,103,1241,0033,15.745
train-clean-100,103,1241,0034,16.91
train-clean-100,103,1241,0035,15.55
train-clean-100,103,1241,0036,15.565
train-clean-100,103,1241,0037,12.775
train-clean-100,103,1241,0038,14.935
train-clean-100,103,1241,0039,16.135
train-clean-100,103,1241,0040,13.785
train-clean-100,103,1241,0041,15.765
train-clean-100,103,1241,0042,14.315
train-clean-100,103,1241,0043,5.73
train-clean-100,1034,121119,0000,7.875
train-clean-100,1034,121119,0001,13.435
train-clean-100,1034,121119,0002,15.685
train-clean-100,1034,121119,0003,14.220062
train-clean-100,1034,121119,0004,9.205
train-clean-100,1034,121119,0005,10.73
train-clean-100,1034,121119,0006,13.995
train-clean-100,1034,121119,0007,13.69
train-clean-100,1034,121119,0008,15.1
train-clean-100,1034,121119,0009,2.81
train-clean-100,1034,121119,0010,5.015
train-clean-100,1034,121119,0011,13.585
train-clean-100,1034,121119,0012,4.515
train-clean-100,1034,121119,0013,8.985
train-clean-100,1034,121119,0014,15.985
train-clean-100,1034,121119,0015,14.95
train-clean-100,1034,121119,0016,15.475
train-clean-100,1034,121119,0017,6.96
train-clean-100,1034,121119,0018,3.91
train-clean-100,1034,121119,0019,15.27
train-clean-100,1034,121119,0020,13.945
train-clean-100,1034,121119,0021,4.685
train-clean-100,1034,121119,0022,2.54
train-clean-100,1034,121119,0023,15.375
train-clean-100,1034,121119,0024,5.025
train-clean-100,1034,121119,0025,15.155
train-clean-100,1034,121119,0026,5.4
train-clean-100,1034,121119,0027,13.545
train-clean-100,1034,121119,0028,14.53
train-clean-100,1034,121119,0029,7.26
train-clean-100,1034,121119,0030,13.615
train-clean-100,1034,121119,0031,10.665
train-clean-100,1034,121119,0032,12.135
train-clean-100,1034,121119,0033,14.675
train-clean-100,1034,121119,0034,14.925
train-clean-100,1034,121119,0035,2.81
train-clean-100,1034,121119,0036,4.85
train-clean-100,1034,121119,0037,14.505
train-clean-100,1034,121119,0038,4.415
train-clean-100,1034,121119,0039,9.655
train-clean-100,1034,121119,0040,14.46
train-clean-100,1034,121119,0041,4.62
train-clean-100,1034,121119,0042,3.675
train-clean-100,1034,121119,0043,15.565
train-clean-100,1034,121119,0044,15.44
train-clean-100,1034,121119,0045,13.875
train-clean-100,1034,121119,0046,2.46
train-clean-100,1034,121119,0047,12.91
train-clean-100,1034,121119,0048,10.485
train-clean-100,1034,121119,0049,17.24
train-clean-100,1034,121119,0050,14.03
train-clean-100,1034,121119,0051,14.98
train-clean-100,1034,121119,0052,14.46
train-clean-100,1034,121119,0053,15.62
train-clean-100,1034,121119,0054,5.43
train-clean-100,1034,121119,0055,15.965
train-clean-100,1034,121119,0056,15.395
train-clean-100,1034,121119,0057,13.54
train-clean-100,1034,121119,0058,14.535
train-clean-100,1034,121119,0059,6.575
train-clean-100,1034,121119,0060,7.895
train-clean-100,1034,121119,0061,9.275
train-clean-100,1034,121119,0062,13.935
train-clean-100,1034,121119,0063,15.035
train-clean-100,1034,121119,0064,13.35
train-clean-100,1034,121119,0065,7.265
train-clean-100,1034,121119,0066,10.655
train-clean-100,1034,121119,0067,4.03
train-clean-100,1034,121119,0068,9.385
train-clean-100,1034,121119,0069,9.96
train-clean-100,1034,121119,0070,10.23
train-clean-100,1034,121119,0071,14.685
train-clean-100,1034,121119,0072,14.82
train-clean-100,1034,121119,0073,12.85
train-clean-100,1034,121119,0074,9.29
train-clean-100,1034,121119,0075,8.53
train-clean-100,1034,121119,0076,5.465
train-clean-100,1034,121119,0077,5.945
train-clean-100,1034,121119,0078,9
train-clean-100,1034,121119,0079,13.81
train-clean-100,1034,121119,0080,2.975
train-clean-100,1034,121119,0081,12.18
train-clean-100,1034,121119,0082,14.065
train-clean-100,1034,121119,0083,14.745
train-clean-100,1034,121119,0084,4.62
train-clean-100,1034,121119,0085,9.77
train-clean-100,1034,121119,0086,7.48
train-clean-100,1034,121119,0087,14.685
train-clean-100,1034,121119,0088,2.44
train-clean-100,1034,121119,0089,4.46
train-clean-100,1034,121119,0090,2.49
train-clean-100,1034,121119,0091,15.93
train-clean-100,1034,121119,0092,5.82
train-clean-100,1034,121119,0093,3.695
train-clean-100,1034,121119,0094,9.175
train-clean-100,1034,121119,0095,10.4
train-clean-100,1040,133433,0000,14.595
train-clean-100,1040,133433,0001,15.380062
train-clean-100,1040,133433,0002,15.35
train-clean-100,1040,133433,0003,14.97
train-clean-100,1040,133433,0004,14.825
train-clean-100,1040,133433,0005,14.64
train-clean-100,1040,133433,0006,3.195
train-clean-100,1040,133433,0007,12.07
